,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Primary %,Won Primary,Party Affiliation,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
239,NATHAN KLEINMAN,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,8.6000004,No,Dem,H,NJ,2.0,DEM,OPEN,95158.2,94594.11,564.59,0.0,12/31/2018,"109 OAK STREET, SUITE B",,ELMER,NJ,8318.0,1410.0,3517.0,4927.0,0.0,0.0,0.0,4927.0,0.0,90000.0,0.0,90000.0,231.2,0,0,0.0,73594.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,4927.0,73362.91,0.0,0.0,04/01/2018
240,TANZIE YOUNGBLOOD,NJ,U.S. House New Jersey District 2,Representative,Regular,6/5/18,Lost,None,None,19.200001,No,Dem,H,NJ,2.0,DEM,OPEN,114751.62,114016.74,734.88,53014.99,12/31/2018,PO BOX 154,,SWEDESBORO,NJ,8085.0,34207.22,45294.4,79501.62,12200.0,0.0,0.0,91701.62,0.0,23000.0,0.0,23000.0,50.0,0,0,0.0,112723.74,0.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,500.0,1293.0,0.0,90408.62,112673.74,0.0,0.0,07/18/2017
241,JOSH WELLE,NJ,U.S. House New Jersey District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,57.200001,Yes,Dem,H,NJ,4.0,DEM,CHALLENGER,1856255.36,1851243.84,5011.52,0.0,12/31/2018,PO BOX 8801,,RED BANK,NJ,7701.0,1326390.72,352079.51,1678470.23,82550.0,0.0,17320.94,1778341.17,77914.19,0.0,0.0,0.0,0.0,0,0,0.0,1841269.61,0.0,0.0,0.0,0.0,0.0,0.0,9914.23,0.0,0.0,9914.23,60.0,1768426.94,1841269.61,0.0,0.0,09/25/2017
242,GOUTAM JOIS,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,14.1,No,Dem,H,NJ,7.0,DEM,CHALLENGER,421834.08,422465.77,834.98,29500.0,12/31/2018,PO BOX 338,,SUMMIT,NJ,7902.0,262118.0,19228.34,281346.34,7500.0,0.0,2987.74,291834.08,0.0,129500.0,0.0,129500.0,500.0,0,0,0.0,271537.77,0.0,0.0,0.0,100000.0,0.0,100000.0,49928.0,0.0,0.0,49928.0,1000.0,241906.08,271037.77,0.0,0.0,07/01/2017
243,PETER JACOB,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Lost,None,None,19.1,No,Dem,H,NJ,7.0,DEM,CHALLENGER,141436.23,156316.14,0.0,0.0,10/15/2018,P.O. BOX 98,,PLUCKEMIN,NJ,79780098.0,65485.0,59848.56,125333.56,250.0,0.0,0.0,125583.56,0.0,10000.0,0.0,10000.0,5852.67,0,0,0.0,145289.48,0.0,0.0,0.0,10185.0,0.0,10185.0,5.0,0.0,0.0,5.0,836.66,125578.56,139436.81,14879.91,0.0,01/01/2017
244,TOM MALINOWSKI,NJ,U.S. House New Jersey District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,66.800003,Yes,Dem,H,NJ,7.0,DEM,CHALLENGER,6306928.1,6246478.55,60449.55,0.0,12/31/2018,PO BOX 222,,ROCKY HILL,NJ,8553.0,4404444.98,715152.45,5119597.43,402139.15,5000.0,0.0,5526736.58,777593.45,0.0,0.0,0.0,2597.6,0,0,0.47,6191313.64,0.0,0.0,0.0,0.0,0.0,0.0,48764.91,0.0,1000.0,49764.91,5400.0,5476971.67,6188716.04,0.0,0.0,09/23/2017
245,ANTOINETTE SEDILLO LOPEZ,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,20.610001,No,Dem,H,NM,1.0,DEM,OPEN,1067042.16,1067042.16,0.0,0.0,12/31/2018,PO BOX 25802,,ALBUQUERQUE,NM,87125.0,612425.67,173826.26,786251.93,29081.88,0.0,21971.61,837305.42,9000.0,220000.0,0.0,220000.0,736.74,0,0,0.0,1054875.38,0.0,0.0,0.0,2690.08,0.0,2690.08,7226.7,0.0,0.0,7226.7,2250.0,830078.72,1054138.64,0.0,0.0,04/01/2017
246,DAMIAN LARA,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,3.29,No,Dem,H,NM,1.0,DEM,OPEN,477889.7,477889.7,0.0,0.0,09/12/2018,PO BOX 27130,,ALBUQUERQUE,NM,87125.0,81796.68,50661.35,132458.03,0.0,0.0,12135.88,144593.91,0.0,332500.0,0.0,332500.0,795.79,0,0,0.0,472472.85,0.0,0.0,0.0,2154.85,0.0,2154.85,3262.0,0.0,0.0,3262.0,0.0,141331.91,471677.06,0.0,0.0,05/30/2017
247,DAMON MARTINEZ,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,25.809999,No,Dem,H,NM,1.0,DEM,OPEN,757679.56,756604.88,974.68,183400.0,12/31/2018,PO BOX 90843,,ALBUQUERQUE,NM,87199.0,483622.35,64737.89,548360.24,13600.0,0.0,4087.59,566047.83,0.0,183400.0,0.0,183400.0,8231.73,0,0,0.0,706728.13,0.0,0.0,0.0,0.0,0.0,0.0,47412.56,0.0,0.0,47412.56,2464.19,518635.27,698496.4,0.0,0.0,07/01/2017
248,DEBRA HAALAND,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,40.59,Yes,Dem,H,NM,1.0,DEM,OPEN,2207240.87,2187367.02,19873.85,43520.78,12/31/2018,PO BOX 25443,,ALBUQUERQUE,NM,87125.0,1412844.81,394870.94,1807715.75,351515.27,0.0,3005.0,2162236.02,42840.82,0.0,0.0,0.0,1936.02,0,0,228.01,1853685.68,0.0,0.0,0.0,0.0,0.0,0.0,14960.34,0.0,100.0,15060.34,318621.0,2147175.68,1851749.66,0.0,0.0,04/01/2017
249,PATRICK DAVIS,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,3.8,No,Dem,H,NM,1.0,DEM,OPEN,393987.79,386403.49,4632.56,0.0,12/31/2018,3926 SIMMS AVE SE,,ALBUQUERQUE,NM,87108.0,279756.37,100931.22,380687.59,3300.2,0.0,0.0,383987.79,0.0,0.0,10000.0,10000.0,0.0,0,0,0.0,372580.46,0.0,0.0,0.0,0.0,10000.0,10000.0,8075.12,0.0,0.0,8075.12,-4252.09,375912.67,372580.46,0.0,0.0,04/01/2017
250,PAUL MOYA,NM,U.S. House New Mexico District 1,Representative,Regular,6/5/18,Lost,None,None,5.8899999,No,Dem,H,NM,1.0,DEM,OPEN,212632.86,211116.42,1516.44,76546.89,12/31/2018,"920 TEAGAN COURT, NE",,ALBUQUERQUE,NM,87112.0,67245.0,10135.26,77380.26,0.0,0.0,25252.21,102632.47,0.0,110000.0,0.0,110000.0,0.0,0,0,0.39,168436.42,0.0,0.0,0.0,35000.0,0.0,35000.0,7680.0,0.0,0.0,7680.0,0.0,94952.47,168436.42,0.0,0.0,10/01/2017
251,XOCHITL TORRES SMALL,NM,U.S. House New Mexico District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,72.620003,Yes,Dem,H,NM,2.0,DEM,OPEN,4810435.04,4641990.04,168445.0,20737.36,12/31/2018,PO BOX 2250,,LAS CRUCES,NM,88004.0,2924493.42,938442.63,3862936.05,646348.48,5000.0,0.0,4514284.53,292093.42,0.0,0.0,0.0,4057.09,0,0,0.0,4581019.72,0.0,0.0,0.0,0.0,0.0,0.0,49909.01,0.0,1061.31,50970.32,10000.0,4463314.21,4576962.63,0.0,0.0,01/01/2018
252,CLINT KOBLE,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Advanced,None,On the Ballot,26.129999,Yes,Dem,H,NV,2.0,DEM,CHALLENGER,161796.18,162414.07,-617.89,28506.81,12/31/2018,3055 REUBEN DRIVE,,RENO,NV,89502.0,82196.35,40198.92,122395.27,3325.1,0.0,0.0,125720.37,0.0,32576.81,1000.0,33576.81,2499.0,0,0,0.0,155505.63,0.0,0.0,0.0,4270.0,800.0,5070.0,1838.44,0.0,0.0,1838.44,0.0,123881.93,153006.63,0.0,0.0,07/01/2017
253,JESSE HURLEY,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,8.04,No,Dem,H,NV,2.0,REP,CHALLENGER,0.0,0.0,0.0,0.0,,451 W 2ND ST,,RENO,NV,89503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
254,PATRICK FOGARTY,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,23.83,No,Dem,H,NV,2.0,DEM,CHALLENGER,169040.0,169040.0,0.0,0.0,07/02/2018,561 KEYSTONE #212,,RENO,NV,89503.0,7040.0,0.0,7040.0,0.0,0.0,10000.0,17040.0,0.0,152000.0,0.0,152000.0,0.0,0,0,0.0,21578.37,0.0,0.0,0.0,147461.63,0.0,147461.63,0.0,0.0,0.0,0.0,0.0,17040.0,21578.37,0.0,0.0,01/01/2018
255,RICK SHEPHERD,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,21.280001,No,Dem,H,NV,2.0,DEM,CHALLENGER,37136.46,26852.37,12835.9,0.0,12/31/2018,355 TALUS WAY,,RENO,NV,89503.0,3463.47,3272.99,6736.46,0.0,0.0,30000.0,36736.46,0.0,0.0,0.0,0.0,0.0,0,0,400.0,26444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.37,36736.46,26444.0,2551.81,0.0,01/01/2017
256,VANCE ALM,NV,U.S. House Nevada District 2,Representative,Regular,6/12/18,Lost,None,None,13.22,No,Dem,H,NV,2.0,DEM,CHALLENGER,3600.0,3183.5,416.5,0.0,03/31/2018,18124 WEDGE PARKWAY,SUITE 2019,RENO,NV,89511.0,1000.0,100.0,1100.0,0.0,0.0,2500.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,3183.5,0.0,0.0,10/03/2017
257,ERIC STOLTZ,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,7.2399998,No,Dem,H,NV,3.0,DEM,OPEN,0.0,0.0,0.0,0.0,,,,HENDERSON,NV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
258,GUY PINJUV,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,3.5,No,Dem,H,NV,3.0,DEM,OPEN,1600.0,3440.94,0.0,0.0,07/01/2018,14 LASSEN STREET,,BLUE DIAMOND,NV,89004.0,0.0,0.0,0.0,1600.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2849.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.68,1600.0,2849.26,1840.94,0.0,01/01/2018
259,MICHAEL WEISS,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,8.1800003,No,Dem,H,NV,3.0,DEM,OPEN,10070.75,8798.86,4.86,0.0,06/23/2018,7201 JOHN GLENN CIRCLE,,LAS VEGAS,NV,89145.0,4720.0,3330.75,8050.75,0.0,0.0,2000.0,10050.75,0.0,0.0,0.0,0.0,20.0,0,0,0.0,8790.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,10050.75,8770.66,325.0,0.0,01/01/2017
260,RICHARD HART,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Lost,None,None,4.8499999,No,Dem,H,NV,3.0,DEM,OPEN,0.0,0.0,0.0,0.0,,9030 W SAHARA AVE #538,,LAS VEGAS,NV,89117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
261,SUSIE LEE,NV,U.S. House Nevada District 3,Representative,Regular,6/12/18,Advanced,None,On the Ballot,66.910004,Yes,Dem,H,NV,3.0,DEM,OPEN,5087840.82,5075147.2,12693.62,0.0,12/31/2018,5130 S FORT APACHE RD,STE 215-382,LAS VEGAS,NV,89148.0,3098780.85,343046.88,3441827.73,818995.35,7691.86,11060.08,4279575.02,808211.67,0.0,0.0,0.0,54.13,0,0,0.0,4986618.43,0.0,0.0,0.0,0.0,0.0,0.0,38938.77,0.0,0.0,38938.77,49590.0,4240636.25,4986564.3,0.0,0.0,07/01/2017
262,ALLISON STEPHENS,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,6.02,No,Dem,H,NV,4.0,DEM,OPEN,50031.42,30400.15,19631.27,102024.32,06/30/2018,PO BOX 270486,,LAS VEGAS,NV,89127.0,30200.0,6901.54,37101.54,0.0,0.0,12929.88,50031.42,0.0,0.0,0.0,0.0,0.0,0,0,0.0,30295.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.43,50031.42,30295.72,0.0,0.0,01/01/2018
263,AMY VILELA,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,9.1999998,No,Dem,H,NV,4.0,DEM,OPEN,198206.51,198206.51,0.0,17433.35,12/31/2018,7030 OAKWOOD PINES CT,,LAS VEGAS,NV,89166.0,62088.38,107257.66,169346.04,0.0,0.0,0.0,169346.04,0.0,3577.25,7967.62,11544.87,17315.6,0,0,0.0,194199.7,0.0,0.0,0.0,3577.25,429.56,4006.81,0.0,0.0,0.0,0.0,0.0,169346.04,176884.1,0.0,0.0,07/01/2017
264,PATRICIA SPEARMAN,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Lost,None,None,15.24,No,Dem,H,NV,4.0,DEM,OPEN,183092.07,183091.58,0.49,0.0,09/30/2018,431 S 6TH ST,,LAS VEGAS,NV,89101.0,114120.0,25347.93,139467.93,43324.14,0.0,200.0,182992.07,0.0,0.0,100.0,100.0,0.0,0,0,0.0,163450.58,0.0,0.0,0.0,0.0,100.0,100.0,19041.0,0.0,500.0,19541.0,0.0,163451.07,163450.58,0.0,0.0,01/01/2018
265,STEVEN HORSFORD,NV,U.S. House Nevada District 4,Representative,Regular,6/12/18,Advanced,None,On the Ballot,61.740002,Yes,Dem,H,NV,4.0,DEM,OPEN,2283287.27,2255315.24,27972.03,33594.85,12/31/2018,PO BOX 336664,,LAS VEGAS,NV,89033.0,1189303.58,117248.25,1306551.83,877796.31,0.0,2500.0,2186848.14,94220.01,0.0,0.0,0.0,2219.12,0,0,0.0,2242029.99,0.0,0.0,0.0,0.0,0.0,0.0,11709.61,0.0,1025.64,12735.25,550.0,2174112.89,2239810.87,0.0,0.0,01/01/2018
266,ALLEN RHEINHART,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,3.3299999,No,Dem,S,NV,0.0,DEM,CHALLENGER,0.0,0.0,0.0,0.0,,1736 EAST CHARLESTON BOULEVARD 161,,LAS VEGAS,NV,89104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
267,DANIEL BURLEIGH,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,2.26,No,Dem,S,NV,0.0,DEM,CHALLENGER,0.0,0.0,0.0,0.0,,PARK AVE APT 711 N CARSON AVE,,LAS VEGAS,NV,89101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
268,JACKY ROSEN,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Advanced,None,On the Ballot,77.110001,Yes,Dem,S,NV,0.0,DEM,CHALLENGER,26242152.35,26079221.37,178189.86,15000.0,12/31/2018,PO BOX 27195,,LAS VEGAS,NV,89126.0,14526570.9,8383038.99,22909611.89,1271587.99,48296.95,0.0,24229498.83,1834737.92,0.0,0.0,0.0,177910.6,0,0,0.0,25540647.24,0.0,0.0,0.0,0.0,0.0,0.0,437310.08,0.0,530.0,437840.08,100733.05,23791657.75,25362735.64,15260.89,0.0,01/01/2017
269,JESSE SBAIH,NV,U.S. Senate Nevada,Senator,Regular,6/12/18,Lost,None,None,3.1700001,No,Dem,S,NV,0.0,DEM,CHALLENGER,2157538.0,2157480.0,0.0,36955.65,12/31/2018,1000 N GREEN VALLEY PKWY #440-471,,HENDERSON,NV,89074.0,84554.0,21221.0,105775.0,0.0,0.0,0.0,105775.0,0.0,2050000.0,0.0,2050000.0,1736.0,0,0,23.0,131293.0,0.0,0.0,0.0,2013044.0,0.0,2013044.0,13142.0,0.0,0.0,13142.0,0.0,92633.0,129555.0,0.0,0.0,04/01/2017
270,DAVID PECHEFSKY,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,11.9,No,Dem,H,NY,1.0,DEM,CHALLENGER,303457.9,303415.63,42.27,60000.0,12/31/2018,PO BOX 361,,PORT JEFFERSON,NY,11777.0,149640.0,36026.68,185666.68,3250.0,0.0,14000.0,202916.68,0.0,100000.0,0.0,100000.0,541.22,0,0,0.0,260715.63,0.0,0.0,0.0,40000.0,0.0,40000.0,2700.0,0.0,0.0,2700.0,0.0,200216.68,260174.41,0.0,0.0,07/01/2017
271,PERRY GERSHON,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,35.450001,Yes,Dem,H,NY,1.0,DEM,CHALLENGER,5075781.84,5075628.25,153.59,250000.0,12/31/2018,20 MILE HILL RD,,EAST HAMPTON,NY,11937.0,2235424.5,363526.16,2598950.66,171942.62,0.0,580996.63,3351889.91,290487.85,1400000.0,0.0,1400000.0,33404.08,0,0,0.0,5038220.77,0.0,0.0,0.0,0.0,0.0,0.0,23717.19,0.0,1300.0,25017.19,12390.29,3326872.72,5004816.69,0.0,0.0,07/01/2017
272,VIVIAN VILORIA-FISHER,NY,U.S. House New York District 1,Representative,Regular,6/26/18,Lost,None,None,16.26,No,Dem,H,NY,1.0,DEM,CHALLENGER,281511.39,281511.39,0.0,0.0,07/31/2018,67 GNARLED HOLLOW ROAD,,SETAUKET,NY,11733.0,52193.23,42601.84,94795.07,1500.0,0.0,10891.3,107186.37,0.0,154325.0,20000.0,174325.0,0.0,0,0,0.02,165157.41,0.0,0.0,0.0,95941.94,20000.0,115941.94,412.04,0.0,0.0,412.04,0.0,106774.33,165157.41,0.0,0.0,04/01/2017
273,MAX ROSE,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Advanced,None,On the Ballot,62.650002,Yes,Dem,H,NY,11.0,DEM,CHALLENGER,4679140.33,4441148.2,237992.13,173674.53,12/31/2018,PO BOX 100496,,STATEN ISLAND,NY,10310.0,3222119.24,532814.03,3754933.27,303844.72,4806.9,537.6,4064122.49,594703.52,0.0,0.0,0.0,20314.32,0,0,0.0,4167218.84,0.0,0.0,0.0,0.0,0.0,0.0,20115.67,0.0,5200.0,25315.67,248613.69,4038806.82,4146904.52,0.0,0.0,07/01/2017
274,OMAR VAID,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,8.4300003,No,Dem,H,NY,11.0,DEM,CHALLENGER,213183.75,211292.1,798.11,111531.68,12/31/2018,PO BOX 90559,,BROOKLYN,NY,11209.0,30247.81,70154.26,100402.07,1250.0,0.0,0.0,101652.07,0.0,111531.68,0.0,111531.68,0.0,0,0,0.0,210205.74,0.0,0.0,0.0,0.0,0.0,0.0,1036.36,0.0,0.0,1036.36,50.0,100615.71,210205.74,0.0,0.0,04/01/2017
275,PAUL SPERLING,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,2.29,No,Dem,H,NY,11.0,DEM,CHALLENGER,0.0,0.0,0.0,0.0,,20 BLOSSOM LANE,,STATEN ISLAND,NY,10307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
276,RADHAKRISHNA MOHAN,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,3.78,No,Dem,H,NY,11.0,DEM,CHALLENGER,118663.12,116733.79,2029.33,83395.0,12/31/2018,237 PORTAGE AVENUE,,STATEN ISLAND,NY,10314.0,29768.0,5500.12,35268.12,0.0,0.0,0.0,35268.12,0.0,83395.0,0.0,83395.0,0.0,0,0,0.0,116733.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35268.12,116733.79,0.0,0.0,10/01/2017
277,ZACH EMIG,NY,U.S. House New York District 11,Representative,Regular,6/26/18,Lost,None,None,1.26,No,Dem,H,NY,11.0,DEM,CHALLENGER,49985.9,49985.9,0.0,0.0,06/30/2018,PO BOX 10230,,STATEN ISLAND,NY,10301.0,6016.9,873.99,6890.89,0.0,0.0,29095.01,35985.9,0.0,14000.0,0.0,14000.0,0.0,0,0,0.0,49985.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35985.9,49985.9,0.0,0.0,03/22/2017
278,ANTONIO DELGADO,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Advanced,None,On the Ballot,21.99,Yes,Dem,H,NY,19.0,DEM,CHALLENGER,9244751.44,9166151.0,78600.44,0.0,12/31/2018,PO BOX 802,,RHINEBECK,NY,12572.0,6733489.58,1410333.56,8143823.14,466936.19,6175.0,0.0,8616934.33,617554.01,0.0,0.0,0.0,10263.1,0,0,0.0,8991169.28,0.0,0.0,0.0,0.0,0.0,0.0,90824.72,0.0,0.0,90824.72,84157.0,8526109.61,8980906.18,0.0,0.0,01/01/2017
279,BRIAN FLYNN,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,13.18,No,Dem,H,NY,19.0,DEM,CHALLENGER,1757503.37,1754001.82,3501.55,906262.2,12/31/2018,PO BOX 170,,TANNERSVILLE,NY,12485.0,731883.29,76869.45,808752.74,5000.0,1175.0,35400.0,850327.74,0.0,906262.2,0.0,906262.2,913.43,0,0,0.0,1559464.78,0.0,0.0,0.0,0.0,0.0,0.0,188037.04,0.0,0.0,188037.04,6500.0,662290.7,1558551.35,0.0,0.0,01/01/2017
280,DAVID CLEGG,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,11.08,No,Dem,H,NY,19.0,DEM,CHALLENGER,793292.76,767248.34,12943.22,125400.0,09/30/2018,48 MAIN ST. NO 2,,KINGSTON,NY,12401.0,194390.33,54875.17,249265.5,115.0,0.0,35912.26,285292.76,0.0,508000.0,0.0,508000.0,0.0,0,0,0.0,356700.31,0.0,0.0,0.0,382600.0,0.0,382600.0,27889.0,0.0,0.0,27889.0,59.03,257403.76,356700.31,0.0,0.0,07/01/2017
281,ERIN COLLIER,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,4.8600001,No,Dem,H,NY,19.0,DEM,CHALLENGER,211153.96,211153.96,0.0,0.0,09/30/2018,151 BARNES ROAD,,COOPERSTOWN,NY,13326.0,124658.0,74172.05,198830.05,10750.0,0.0,1402.37,210982.42,0.0,0.0,0.0,0.0,171.54,0,0,0.0,207903.96,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,0.0,0.0,3250.0,0.0,207732.42,207732.42,0.0,0.0,01/01/2018
282,GARETH RHODES,NY,U.S. House New York District 19,Representative,Regular,6/26/18,Lost,None,None,17.85,No,Dem,H,NY,19.0,DEM,CHALLENGER,912351.92,909722.91,0.0,0.0,12/31/2018,PO BOX 3324,,KINGSTON,NY,12402.0,739206.1,150083.26,889289.36,15098.21,0.0,610.62,904998.19,0.0,0.0,0.0,0.0,1675.01,0,0,5678.72,769748.73,0.0,0.0,0.0,0.0,0.0,0.0,138651.62,0.0,0.0,138651.62,1322.56,766346.57,768073.72,0.0,0.0,04/01/2017
283,DUWAYNE GREGORY,NY,U.S. House New York District 2,Representative,Regular,6/26/18,Lost,None,None,41.639999,No,Dem,H,NY,2.0,DEM,CHALLENGER,168557.32,171994.49,0.0,0.0,12/31/2018,PO BOX 406,,COPIAGUE,NY,11726.0,113730.0,34496.16,148226.16,20241.16,0.0,0.0,168467.32,0.0,0.0,0.0,0.0,90.0,0,0,0.0,171994.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168467.32,171904.49,3437.17,0.0,01/01/2017
284,DYLAN RATIGAN,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,11.91,No,Dem,H,NY,21.0,DEM,CHALLENGER,198480.76,198480.76,0.0,0.0,07/12/2018,PO BOX 567,,LAKE PLACID,NY,12946.0,142910.0,46873.66,189783.66,7800.0,0.0,158.53,197742.19,0.0,0.0,0.0,0.0,738.57,0,0,0.0,165727.76,0.0,0.0,0.0,0.0,0.0,0.0,32453.0,0.0,300.0,32753.0,0.0,164989.19,164989.19,0.0,0.0,01/01/2018
285,EMILY MARTZ,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,10.37,No,Dem,H,NY,21.0,DEM,CHALLENGER,250823.86,250642.49,181.37,0.0,12/31/2018,PO BOX 1276,,SARANAC LAKE,NY,12983.0,151084.92,73048.95,224133.87,250.0,0.0,13280.63,237664.5,0.0,13000.0,0.0,13000.0,159.36,0,0,0.0,238068.74,0.0,0.0,0.0,4979.75,1000.0,5979.75,6594.0,0.0,0.0,6594.0,0.0,231070.5,237909.38,0.0,0.0,07/01/2017
286,KATIE WILSON,NY,U.S. House New York District 21,Representative,Regular,6/26/18,Lost,None,None,11.68,No,Dem,H,NY,21.0,DEM,CHALLENGER,265858.31,265858.31,0.0,0.0,12/31/2018,PO BOX 26,,KEENE,NY,12942.0,204410.35,61197.3,265607.65,50.0,0.0,193.66,265851.31,0.0,0.0,0.0,0.0,7.0,0,0,0.0,264987.54,0.0,0.0,0.0,0.0,0.0,0.0,870.77,0.0,0.0,870.77,0.0,264980.54,264980.54,0.0,0.0,06/27/2017
